EventSensor_ns,RowType,Source_Index,Source_SensorTimestamp_ns,Sink_Index,Sink_SensorTimestamp_ns,Sink_SensorTimestamp_Corrected_ns,TimeDifference_ns,TimeDifference_ms
7245159766000,MATCHED,94,7245159766000,94,8833376137000,7245159758000,8000,0.008000
7245193082000,MATCHED,95,7245193082000,95,8833409455000,7245193076000,6000,0.006000
7245226409000,MATCHED,96,7245226409000,96,8833442775000,7245226396000,13000,0.013000
7245259716000,MATCHED,97,7245259716000,97,8833476093000,7245259714000,2000,0.002000
7245293039000,MATCHED,98,7245293039000,98,8833509412000,7245293033000,6000,0.006000
7245326355000,MATCHED,99,7245326355000,99,8833542730000,7245326351000,4000,0.004000
7245359678000,MATCHED,100,7245359678000,100,8833576049000,7245359670000,8000,0.008000
7245392991000,MATCHED,101,7245392991000,101,8833609367000,7245392988000,3000,0.003000
7245426308000,MATCHED,102,7245426308000,102,8833642685000,7245426306000,2000,0.002000
7245459626000,MATCHED,103,7245459626000,103,8833676003000,7245459624000,2000,0.002000
7245492949000,MATCHED,104,7245492949000,104,8833709322000,7245492943000,6000,0.006000
7245526263000,MATCHED,105,7245526263000,105,8833742640000,7245526261000,2000,0.002000
7245559583000,MATCHED,106,7245559583000,106,8833775958000,7245559579000,4000,0.004000
7245592902000,MATCHED,107,7245592902000,107,8833809277000,7245592898000,4000,0.004000
7245626219000,MATCHED,108,7245626219000,108,8833842596000,7245626217000,2000,0.002000
7245659546000,MATCHED,109,7245659546000,109,8833875914000,7245659535000,11000,0.011000
7245692863000,MATCHED,110,7245692863000,110,8833909233000,7245692854000,9000,0.009000
7245726176000,MATCHED,111,7245726176000,111,8833942551000,7245726172000,4000,0.004000
7245759499000,MATCHED,112,7245759499000,112,8833975870000,7245759491000,8000,0.008000
7245792814000,MATCHED,113,7245792814000,113,8834009188000,7245792809000,5000,0.005000
7245826134000,MATCHED,114,7245826134000,114,8834042506000,7245826127000,7000,0.007000
7245859446000,MATCHED,115,7245859446000,115,8834075825000,7245859446000,0,0.000000
7245892766000,MATCHED,116,7245892766000,116,8834109143000,7245892764000,2000,0.002000
7245926084000,MATCHED,117,7245926084000,117,8834142462000,7245926083000,1000,0.001000
7245959404000,MATCHED,118,7245959404000,118,8834175780000,7245959401000,3000,0.003000
7245992722000,MATCHED,119,7245992722000,119,8834209099000,7245992720000,2000,0.002000
7246026041000,MATCHED,120,7246026041000,120,8834242417000,7246026038000,3000,0.003000
7246059359000,MATCHED,121,7246059359000,121,8834275736000,7246059357000,2000,0.002000
7246092678000,MATCHED,122,7246092678000,122,8834309052000,7246092673000,5000,0.005000
7246125995000,MATCHED,123,7246125995000,123,8834342378000,7246125999000,-4000,-0.004000
7246159317000,MATCHED,124,7246159317000,124,8834375692000,7246159313000,4000,0.004000
7246192633000,MATCHED,125,7246192633000,125,8834409009000,7246192630000,3000,0.003000
7246225951000,MATCHED,126,7246225951000,126,8834442328000,7246225949000,2000,0.002000
7246259269000,MATCHED,127,7246259269000,127,8834475646000,7246259267000,2000,0.002000
7246292593000,MATCHED,128,7246292593000,128,8834508965000,7246292586000,7000,0.007000
7246325906000,MATCHED,129,7246325906000,129,8834542283000,7246325904000,2000,0.002000
7246359226000,MATCHED,130,7246359226000,130,8834575602000,7246359223000,3000,0.003000
7246392542000,MATCHED,131,7246392542000,131,8834608921000,7246392542000,0,0.000000
7246425863000,MATCHED,132,7246425863000,132,8834642239000,7246425860000,3000,0.003000
